Coordinate Set,Distance Traveled,Time Used (s)
3.0,3.5,27.64
0.0,4.24,41.0
0.0,4.03,35.86
0.0,4.36,39.9
0.0,4.12,32.1
0.0,4.4,44.22
0.0,4.09,31.76
0.0,4.52,40.61
0.0,3.98,29.45
0.0,4.55,41.64
0.0,4.02,30.5
0.0,4.4,39.72
0.0,4.05,31.83
0.0,4.44,40.64
0.0,4.23,32.48
0.0,4.48,40.03
0.0,3.93,29.62
0.0,4.39,36.73
0.0,4.21,31.97
0.0,4.5,38.43
0.0,4.07,31.8
