Coordinate Set,Distance Traveled,Time Used (s)
3,3.5002978127181192,27.640655755996704
3,7.73903171027868,68.63816857337952
3,11.770299892178693,104.49716138839722
3,16.132413583568464,144.39597988128662
3,20.25360021163127,176.49817872047424
3,24.654824476034943,220.7190968990326
3,28.737706066843643,252.47816133499146
3,33.2562365258318,293.08911967277527
3,37.23831766165416,322.5369875431061
3,41.79434423097376,364.17791986465454
3,45.81120742428826,394.6798584461212
3,50.20529294835225,434.4031615257263
3,54.25821697512805,466.2314372062683
3,58.697123301859165,506.87453985214233
3,62.92642983659649,539.353485584259
3,67.40799597470604,579.3832623958588
3,71.33934788477391,608.9952168464661
3,75.73111903308474,645.7289793491364
3,79.94278326535202,677.6977326869965
3,84.43594395963062,716.1339068412781
3,88.51136090071756,747.9336881637573
