Coordinate Set,Distance Traveled,Time Used (s)
0,7.566510176104138,39.68351411819458
0,11.833362753873557,61.999687910079956
0,16.24128774926882,84.5497498512268
0,20.636979467614733,107.99917221069336
0,25.139165456489962,131.99874544143677
0,29.673836695746044,155.99866366386414
0,34.09174019323929,179.99895668029785
0,38.52768272373231,203.99866724014282
0,42.874421431114,227.9990177154541
0,47.15319292089232,251.9988362789154
0,51.43447103103279,273.99895668029785
0,55.70189684913987,295.9989516735077
0,60.042519733858555,317.9989068508148
0,64.30312715037384,339.9988431930542
0,68.6098460573514,361.9990744590759
0,72.85321454490142,383.99914169311523
0,77.26290390507063,405.99902725219727
0,81.4900971023794,427.99985241889954
0,85.86377422954781,449.99874901771545
1,6.377680458281848,31.99625825881958
1,10.703358991510717,53.99612212181091
1,14.941246837182451,75.99690246582031
1,19.31262928832186,97.99614930152893
1,23.711070295130785,121.99668955802917
1,28.088801601306564,143.99682426452637
1,32.35988954221466,165.99625515937805
1,36.681525931418946,187.99719786643982
1,41.14953255072223,211.99640321731567
1,45.51569839973057,233.99698543548584
1,49.69033208558231,255.99640154838562
1,54.0233656410543,277.99655628204346
1,58.46722855892272,301.9961099624634
1,62.84870341748835,323.9961156845093
1,67.0944168066656,345.9968190193176
1,71.4480414311532,367.997136592865
1,75.71972532127945,389.99623680114746
1,79.98698799897721,411.99607515335083
1,84.29357057821268,433.9960300922394
