Coordinate Set,Distance Traveled,Time Used (s)
1.0,3.68,27.5
0.0,4.37,40.3
0.0,3.67,34.55
0.0,4.73,50.45
0.0,3.78,30.84
0.0,4.17,34.83
0.0,3.74,31.07
0.0,4.46,41.09
0.0,3.84,31.49
0.0,4.35,34.04
0.0,3.75,30.1
0.0,4.57,35.91
0.0,3.69,28.15
0.0,4.42,37.18
0.0,3.73,30.63
0.0,4.32,32.86
0.0,3.71,30.74
0.0,4.49,35.64
0.0,3.84,30.5
0.0,4.5,36.05
0.0,3.81,30.46
