Coordinate Set,Distance Traveled,Time Used (s)
2,4.074591679490345,42.786439657211304
2,8.383866216978902,100.81964302062988
2,12.405908164514896,142.27534747123718
2,16.667829465985026,193.6350371837616
2,20.800328243585504,232.54367923736572
2,24.876667646320755,275.59888792037964
2,28.82867470076422,315.4558033943176
2,33.20231046466527,359.63476300239563
2,37.660499727285405,405.72303462028503
2,42.27257526989855,466.68331360816956
2,46.78731516192439,510.24548864364624
2,51.434866866124175,563.000256061554
2,55.63342393658307,602.0721464157104
2,60.0621869207436,654.1140670776367
2,64.19289401353369,690.5995526313782
2,68.62507069794641,738.5572741031647
2,72.7420689610273,780.5275294780731
2,77.06052237224979,834.9511184692383
2,81.2991351253223,875.0208878517151
2,85.60361028168624,922.6733181476593
2,89.74244362782257,962.157014131546
