Coordinate Set,Distance Traveled,Time Used (s)
1,5.130298324911566,27.998534679412842
1,10.000192327413764,53.99855709075928
1,15.453478770101944,79.99884724617004
1,20.427621182117896,105.99970483779907
1,25.814940048052794,131.99892234802246
1,31.24946498941099,159.99848246574402
1,36.372186492247025,185.99855399131775
1,41.82055460787334,213.99922847747803
1,47.00080605907699,239.99842858314514
1,52.63013357055558,269.9984140396118
1,57.98224758197786,297.9993131160736
1,63.38661525178358,325.9997606277466
1,68.55123803874523,351.99862027168274
1,73.94944018122798,379.9735977649689
1,79.11869259993723,405.9994730949402
1,84.73815676996125,435.9986000061035
1,90.06581663305035,463.9984712600708
1,95.65847918295341,493.7585754394531
1,100.87156323891881,519.9985365867615
2,5.3116403744586895,27.996753692626953
2,9.391972228717636,49.99726748466492
2,13.210370191767025,69.99588441848755
2,16.97171679564965,89.99582767486572
2,20.80007251060528,109.9957344532013
2,24.763187762008968,131.99580764770508
2,28.647927657140677,151.99569368362427
2,32.94435136110854,175.99577569961548
2,36.81736403513831,195.99829387664795
2,40.6573404640583,215.99585962295532
2,44.4684572487134,235.99601435661316
2,48.30081201866874,255.99604082107544
2,52.16702202014883,275.99578833580017
2,56.0152864679447,295.99726247787476
2,59.86977185719413,315.9955747127533
2,63.71432534857211,335.99694991111755
2,67.60586200625521,355.9957203865051
2,71.3947421992209,375.9959042072296
2,75.24725711745918,395.99584794044495
