Coordinate Set,Distance Traveled,Time Used (s)
2.0,4.07,42.79
0.0,4.31,58.03
0.0,4.03,41.46
0.0,4.26,51.36
0.0,4.13,38.9
0.0,4.08,43.06
0.0,3.95,39.86
0.0,4.37,44.17
0.0,4.46,46.09
0.0,4.61,60.96
0.0,4.52,43.57
0.0,4.64,52.75
0.0,4.2,39.07
0.0,4.43,52.04
0.0,4.13,36.49
0.0,4.44,47.96
0.0,4.11,41.97
0.0,4.32,54.42
0.0,4.24,40.07
0.0,4.3,47.65
0.0,4.14,39.49
