Coordinate Set,Distance Traveled,Time Used (s)
0,3.523535433495449,31.712787866592407
0,6.7887987315007585,62.75698757171631
0,10.39744726080427,100.10026979446411
0,13.537659390991564,128.04644966125488
0,17.284189543698144,165.8268654346466
0,20.457871813062212,192.24151277542114
0,24.021788351058273,226.07821822166443
0,27.246411607875118,252.86915564537048
0,30.83868194526423,285.7824013233185
0,34.04979736903436,311.820494890213
0,37.631625573767394,344.0864632129669
0,40.90628288827207,368.8308970928192
0,44.56851523754511,400.0106666088104
0,47.81658477364766,425.1971936225891
0,51.494049342029804,456.71712923049927
0,54.78787275201842,481.15306329727173
0,58.393336045234655,513.3177599906921
0,61.62573549024692,539.3205502033234
0,65.14888373080376,572.3355526924133
0,68.47517125686785,594.900908946991
0,72.26032042737576,626.8931255340576
